City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Payyannur,IN,2022-05-12 20:32:03,12.1,75.2,78.17,89,100,5.3
183,Soubre,CI,2022-05-12 20:32:04,5.7856,-6.6083,74.43,98,100,2.86
184,Leshukonskoye,RU,2022-05-12 20:32:04,64.8989,45.7622,46.15,94,75,6.78
185,Capitan Miranda,PY,2022-05-12 20:32:05,-27.2,-55.8,68.85,60,0,0.0
186,Ancud,CL,2022-05-12 20:30:59,-41.8697,-73.8203,48.4,70,41,16.49
187,Skibbereen,IE,2022-05-12 20:32:05,51.55,-9.2667,54.1,85,100,18.54
188,Astoria,US,2022-05-12 20:28:59,46.1879,-123.8313,48.92,91,100,5.75
189,Lyman,UA,2022-05-12 20:32:05,48.9884,37.8023,59.38,63,84,20.2
190,Dudinka,RU,2022-05-12 20:32:06,69.4058,86.1778,34.63,93,100,8.68
191,Doctor Phillips,US,2022-05-12 20:32:06,28.4495,-81.4923,83.17,59,75,20.71
192,Havre-Saint-Pierre,CA,2022-05-12 20:32:07,50.2334,-63.5986,57.56,47,0,14.97
193,Tomari,RU,2022-05-12 20:32:07,47.7658,142.0683,48.02,73,100,1.99
194,Sayat,TM,2022-05-12 20:32:07,38.7839,63.8803,75.07,24,100,9.91
195,Arraial Do Cabo,BR,2022-05-12 20:32:08,-22.9661,-42.0278,75.06,69,75,13.8
196,Egvekinot,RU,2022-05-12 20:32:08,66.3167,-179.1667,26.37,87,97,3.53
197,Broome,US,2022-05-12 20:32:08,42.2506,-75.833,84.18,36,0,6.91
198,Georgetown,MY,2022-05-12 20:30:06,5.4112,100.3354,80.53,94,40,10.36
199,Stokmarknes,NO,2022-05-12 20:32:09,68.5646,14.9108,42.76,93,100,11.5
200,Apacilagua,HN,2022-05-12 20:32:09,13.4797,-87.0755,94.48,49,20,6.91
201,Tangermunde,DE,2022-05-12 20:32:10,52.5446,11.9765,55.85,63,99,4.34
202,Huanren,CN,2022-05-12 20:32:10,41.2647,125.3667,44.22,69,100,1.28
203,San Cristobal,VE,2022-05-12 20:32:10,7.7669,-72.225,77.18,60,99,5.17
204,Tromso,NO,2022-05-12 20:30:28,69.6496,18.957,35.62,87,75,5.75
205,Lapua,FI,2022-05-12 20:32:11,62.9693,23.0088,47.08,97,60,3.89
206,Buala,SB,2022-05-12 20:32:11,-8.145,159.5921,81.28,77,87,1.54
207,Bengkulu,ID,2022-05-12 20:32:12,-3.8004,102.2655,75.83,87,100,2.73
208,Codrington,AU,2022-05-12 20:32:12,-38.2667,141.9667,56.39,88,93,3.53
209,Hay River,CA,2022-05-12 20:32:12,60.8156,-115.7999,44.56,65,40,11.5
210,Norman Wells,CA,2022-05-12 20:32:13,65.282,-126.8329,53.64,35,20,6.91
211,Guerrero Negro,MX,2022-05-12 20:32:13,27.9769,-114.0611,81.34,27,16,15.03
212,Fortuna,US,2022-05-12 20:32:13,40.5982,-124.1573,58.91,67,100,9.22
213,Longview,US,2022-05-12 20:28:32,32.5007,-94.7405,91.99,43,0,11.5
214,Timizart,DZ,2022-05-12 20:32:14,36.8,4.2667,66.6,46,2,9.17
215,Vila Velha,BR,2022-05-12 20:28:19,-20.3297,-40.2925,78.75,78,20,12.66
216,Port Macquarie,AU,2022-05-12 20:28:32,-31.4333,152.9167,67.89,94,100,0.0
217,Nemuro,JP,2022-05-12 20:32:14,43.3236,145.575,45.34,98,100,10.27
218,Pangnirtung,CA,2022-05-12 20:32:15,66.1451,-65.7125,24.8,74,20,18.41
219,Padang,ID,2022-05-12 20:32:15,-0.9492,100.3543,78.49,78,100,4.18
220,Ouango,CF,2022-05-12 20:32:16,4.3133,22.5552,70.79,98,91,2.66
221,Bathsheba,BB,2022-05-12 20:32:16,13.2167,-59.5167,84.81,70,40,21.85
222,Talnakh,RU,2022-05-12 20:30:04,69.4865,88.3972,34.21,98,99,5.06
223,Thinadhoo,MV,2022-05-12 20:32:16,0.5333,72.9333,83.68,74,78,16.13
224,Gat,IL,2022-05-12 20:32:17,31.61,34.7642,69.4,61,20,5.93
225,Tautira,PF,2022-05-12 20:29:56,-17.7333,-149.15,80.94,71,33,18.37
226,Tuktoyaktuk,CA,2022-05-12 20:32:17,69.4541,-133.0374,42.8,61,100,11.5
227,Nchelenge,ZM,2022-05-12 20:33:18,-9.3451,28.734,68.09,66,7,4.25
228,Mancora,PE,2022-05-12 20:33:18,-4.1078,-81.0475,76.08,66,14,16.82
229,Beipiao,CN,2022-05-12 20:33:18,41.7919,120.7792,44.78,29,1,4.03
230,Cayenne,GF,2022-05-12 20:33:19,4.9333,-52.3333,84.24,2,75,13.8
231,Te Anau,NZ,2022-05-12 20:33:19,-45.4167,167.7167,47.52,88,100,2.51
232,Itaituba,BR,2022-05-12 20:33:19,-4.2761,-55.9836,89.76,62,20,3.44
233,Buin,CL,2022-05-12 20:33:20,-33.7333,-70.75,67.05,38,100,3.4
234,Zhezkazgan,KZ,2022-05-12 20:33:20,47.8043,67.7144,59.05,38,7,8.25
235,Bambous Virieux,MU,2022-05-12 20:33:21,-20.3428,57.7575,73.65,88,40,3.44
236,Ahipara,NZ,2022-05-12 20:33:21,-35.1667,173.1667,55.74,69,39,3.83
237,Neuquen,AR,2022-05-12 20:32:12,-38.9516,-68.0591,55.29,88,75,4.61
238,Tabou,CI,2022-05-12 20:33:21,4.423,-7.3528,78.44,88,99,5.93
239,Yumen,CN,2022-05-12 20:33:22,40.2833,97.2,45.79,22,87,27.89
240,Ekhabi,RU,2022-05-12 20:33:22,53.5102,142.9671,33.53,97,100,6.35
241,Cherskiy,RU,2022-05-12 20:33:22,68.75,161.3,31.91,89,94,11.68
