City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,40,5.75,scattered clouds
245,Bataipora,BR,-22.2953,-53.2711,64.51,98,100,5.66,moderate rain
246,Severo-Kurilsk,RU,50.6789,156.125,39.06,92,100,25.97,overcast clouds
247,Ribeira Grande,PT,38.5167,-28.7,60.03,67,41,27.07,scattered clouds
248,Panguna,PG,-6.3164,155.4848,83.14,54,37,1.39,scattered clouds
249,Talnakh,RU,69.4865,88.3972,40.21,100,100,5.99,overcast clouds
250,Le Port,RE,-20.9373,55.2919,71.56,73,38,4.52,scattered clouds
251,Chabahar,IR,25.2919,60.643,81.52,75,0,2.15,clear sky
252,Omsukchan,RU,62.5333,155.8,34.47,98,100,5.21,overcast clouds
253,Carnarvon,AU,-24.8667,113.6333,64.6,49,0,18.37,clear sky
254,Shahrud,IR,36.4182,54.9763,55.38,45,0,4.0,clear sky
255,Mingaora,PK,34.7758,72.3625,76.53,20,96,7.76,overcast clouds
256,Ulladulla,AU,-35.35,150.4667,67.77,76,100,0.78,light rain
257,Sur,OM,22.5667,59.5289,82.09,54,0,3.85,clear sky
258,Raga,SS,8.4596,25.678,72.37,87,100,3.56,light rain
259,Todos Santos,MX,23.45,-110.2167,70.66,65,100,4.81,overcast clouds
260,Margate,GB,51.3813,1.3862,57.31,87,52,10.51,broken clouds
261,Pontianak,ID,-0.0333,109.3333,78.78,94,20,3.44,few clouds
262,Muriwai Beach,NZ,-36.8167,174.45,67.42,80,100,15.77,light rain
263,Stromness,GB,58.965,-3.296,46.87,88,100,5.99,overcast clouds
264,Dnestrovsc,MD,46.6222,29.9133,54.43,75,68,7.27,broken clouds
265,Khatanga,RU,71.9667,102.5,34.32,100,100,11.43,overcast clouds
266,Bantul,ID,-7.8881,110.3289,82.2,80,100,0.98,overcast clouds
267,Nouadhibou,MR,20.931,-17.0347,75.18,53,100,20.71,overcast clouds
268,Deputatskiy,RU,69.3,139.9,18.95,86,100,5.66,overcast clouds
269,Vizinga,RU,61.0749,50.1031,43.79,93,100,4.12,overcast clouds
270,Lagoa,PT,39.05,-27.9833,58.68,66,10,29.82,clear sky
271,Marsh Harbour,BS,26.5412,-77.0636,78.01,81,45,10.98,scattered clouds
272,Tulun,RU,54.5611,100.5792,64.58,33,14,3.4,few clouds
273,Srandakan,ID,-7.9386,110.2506,82.42,80,100,1.92,overcast clouds
274,Komsomolskiy,UZ,40.4272,71.7189,59.72,82,75,2.3,light rain
275,Buala,SB,-8.145,159.5921,84.9,68,80,0.89,broken clouds
276,Yanam,IN,16.7333,82.2167,84.22,81,13,3.09,few clouds
277,Marzuq,YE,14.4,46.4667,69.21,20,5,3.56,clear sky
278,Herat,AF,34.5,62.0,54.52,54,0,25.77,clear sky
279,Ucluelet,CA,48.9329,-125.5528,51.1,92,100,3.0,overcast clouds
280,Xining,CN,36.6167,101.7667,42.35,66,98,1.99,overcast clouds
281,Talara,PE,-4.5772,-81.2719,70.56,73,0,10.36,clear sky
282,Waipawa,NZ,-41.4122,175.5153,54.1,96,100,5.64,light rain
283,Pisco,PE,-13.7,-76.2167,64.45,82,100,5.75,overcast clouds
284,Padang,ID,-0.9492,100.3543,78.85,77,4,2.06,clear sky
285,Marsa Matruh,EG,31.3525,27.2453,61.0,82,0,5.75,clear sky
286,Qingdao,CN,36.0986,120.3719,60.4,59,0,2.24,clear sky
287,Port Blair,IN,11.6667,92.75,78.84,94,75,8.05,broken clouds
288,Magnitogorsk,RU,53.4186,59.0472,43.63,87,40,6.71,scattered clouds
289,Mount Isa,AU,-20.7333,139.5,74.97,46,0,9.22,clear sky
290,Vytegra,RU,61.0064,36.4481,38.8,99,100,4.16,overcast clouds
291,Gushikawa,JP,26.3544,127.8686,74.43,96,100,14.97,heavy intensity rain
292,Ancud,CL,-41.8697,-73.8203,45.86,87,0,6.73,clear sky
293,Bemidji,US,47.4736,-94.8803,60.57,53,100,18.41,overcast clouds
294,Tias,ES,28.9611,-13.645,65.88,77,0,3.44,clear sky
295,Yambio,SS,4.5721,28.3955,67.19,91,88,3.8,overcast clouds
296,Simbahan,PH,6.3032,120.5836,82.71,75,100,11.34,overcast clouds
297,Manama,BH,26.2154,50.5832,82.35,61,0,17.27,clear sky
298,Karaton,ID,-6.3424,106.1045,81.1,76,100,0.72,overcast clouds
299,Oussouye,SN,12.485,-16.5469,77.18,78,1,9.48,clear sky
300,Praia,CV,14.9215,-23.5087,81.14,47,0,27.63,clear sky
301,Hamilton,US,39.1834,-84.5333,66.72,92,75,12.66,thunderstorm
302,Imphal,IN,24.8167,93.95,71.94,91,100,1.66,overcast clouds
303,Sistranda,NO,63.7256,8.834,42.76,73,99,23.2,overcast clouds
304,Oistins,BB,13.0667,-59.5333,80.69,74,40,17.27,scattered clouds
305,Tuatapere,NZ,-46.1333,167.6833,53.85,72,19,3.98,few clouds
306,Henties Bay,NA,-22.116,14.2845,58.77,75,0,5.88,clear sky
307,Pavlodar,KZ,52.3,76.95,64.2,59,40,8.95,scattered clouds
308,Shiyan,CN,32.6475,110.7781,60.75,66,100,5.23,overcast clouds
309,Nanakuli,US,21.3906,-158.1547,84.15,44,20,13.8,few clouds
310,Alyangula,AU,-13.8483,136.4192,80.42,49,6,3.18,clear sky
311,Jalalabad,AF,34.4265,70.4515,84.38,21,100,3.15,overcast clouds
312,Gap,FR,44.6667,6.0,41.83,93,86,2.01,overcast clouds
313,Salina Cruz,MX,16.1667,-95.2,86.13,57,25,8.75,scattered clouds
314,San Cristobal,VE,7.7669,-72.225,75.38,91,96,2.77,overcast clouds
315,Yar-Sale,RU,66.8333,70.8333,35.22,100,100,5.66,overcast clouds
316,Rumonge,BI,-3.9736,29.4386,70.66,82,100,5.3,overcast clouds
317,Mattru,SL,7.6244,-11.8332,75.49,96,100,1.48,overcast clouds
318,Mariental,NA,-24.6333,17.9667,58.03,28,0,8.95,clear sky
319,Kaminokawa,JP,36.4333,139.9167,59.11,79,100,6.8,overcast clouds
320,Tabou,CI,4.423,-7.3528,77.77,88,100,2.93,overcast clouds
321,Kuhdasht,IR,33.535,47.6061,59.63,27,0,4.36,clear sky
322,Aranos,NA,-24.1333,19.1167,57.96,28,0,10.69,clear sky
323,Kabalo,CD,-6.05,26.9167,68.77,73,56,3.76,broken clouds
324,Ormara,PK,25.2088,64.6357,81.82,83,0,13.11,clear sky
325,Tshane,BW,-24.0196,21.8684,60.24,31,1,6.38,clear sky
326,Mitsamiouli,KM,-11.3847,43.2844,79.47,73,0,5.7,clear sky
327,Calatayud,ES,41.3535,-1.6432,60.76,78,65,4.05,broken clouds
328,Shanghai,CN,31.2222,121.4581,64.92,54,0,4.47,clear sky
329,Ugoofaaru,MV,5.6667,73.0,83.82,73,100,21.43,moderate rain
330,Okahandja,NA,-21.9833,16.9167,56.19,28,0,7.07,clear sky
331,Praya,CV,14.9215,-23.5087,81.14,47,0,27.63,clear sky
332,Coolum Beach,AU,-26.5333,153.1,79.34,91,32,5.26,scattered clouds
333,Rovaniemi,FI,66.5,25.7167,44.01,65,0,4.61,clear sky
334,Romny,UA,50.751,33.4747,44.76,95,13,8.21,few clouds
335,Itiuba,BR,-10.6917,-39.8536,72.1,79,46,7.67,scattered clouds
336,Prainha,BR,-1.8,-53.48,74.57,98,100,3.18,overcast clouds
337,Kupang,ID,-10.1667,123.5833,84.06,68,13,5.08,few clouds
338,Tuy Hoa,VN,13.0833,109.3,84.31,75,94,4.32,overcast clouds
339,Trofors,NO,65.5333,13.4063,38.53,98,100,7.25,light rain
340,College,US,64.8569,-147.8028,49.95,66,75,1.01,shower rain
341,Srednekolymsk,RU,67.45,153.6833,27.0,82,100,5.5,overcast clouds
342,Doka,SD,13.5167,35.7667,85.73,44,5,9.53,clear sky
343,Mount Gambier,AU,-37.8333,140.7667,58.91,88,40,13.8,scattered clouds
344,Inongo,CD,-1.95,18.2667,70.41,98,100,1.77,light rain
345,Katangli,RU,51.7102,143.2326,32.88,99,100,20.76,light snow
346,Lagunillas,VE,10.1301,-71.2595,82.56,76,100,7.63,overcast clouds
347,Santa Rosa,PH,14.3122,121.1114,90.09,74,52,3.87,broken clouds
348,Abu Samrah,SY,35.3029,37.1841,75.36,35,100,17.47,overcast clouds
